"NAME","NATURAL_NODE_NAME","DESCRIPTION","ASSOCIATED_LB","ASSOCIATED_LE","ASSOCIATED_BU"
"RF_T06601","T06601","RUS-RU-Moscow-03-colo_LE_IF1012","LB_T066","LE_IF1012","BU_OGTBMS"
"RF_T07701","T07701","RUS-RU-Moscow-03-colo_LE_IF1683","LB_T077","LE_IF1683","BU_OGTBMS"
"RF_T07901","T07901","RUS-RU-Moscow-03-colo_LE_IF1685","LB_T079","LE_IF1685","BU_OGTBMS"
"RF_T08001","T08001","RUS-RU-Moscow-03-colo_LE_IF1692","LB_T080","LE_IF1692","BU_OGTBMS"
"RF_T08301","T08301","RUS-RU-Moscow-03-colo_LE_IF1738","LB_T083","LE_IF1738","BU_OGTBMS"
"RF_T08401","T08401","RUS-RU-Moscow-03-colo_LE_IF1739","LB_T084","LE_IF1739","BU_OGTBMS"
"RF_T08601","T08601","RUS-RU-Moscow-03-colo_LE_IF1894","LB_T086","LE_IF1894","BU_OGTBMS"
"RF_T08701","T08701","RUS-RU-Moscow-03-colo_LE_IF1902","LB_T087","LE_IF1902","BU_OGTBMS"
"RF_T08801","T08801","RUS-RU-Moscow-03-colo_LE_IF1903","LB_T088","LE_IF1903","BU_OGTBMS"
"RF_T08901","T08901","RUS-RU-Moscow-03-colo_LE_IF1904","LB_T089","LE_IF1904","BU_OGTBMS"
"RF_U04001","U04001","RUS-RU-Moscow-03-colo_LE_BR2041","LB_U040","LE_BR2041","BU_OGTBMS"
"RF_U04101","U04101","RUS-RU-Moscow-03-colo_LE_BR2049","LB_U041","LE_BR2049","BU_OGTBMS"
"RF_U04201","U04201","RUS-RU-Moscow-03-colo_LE_BR2050","LB_U042","LE_BR2050","BU_OGTBMS"
"RF_U04501","U04501","RUS-RU-Moscow-03-colo_LE_BR2068","LB_U045","LE_BR2068","BU_OGTBMS"
"RF_U04601","U04601","RUS-RU-Moscow-03-colo_LE_BR2069","LB_U046","LE_BR2069","BU_OGTBMS"
"RF_U05401","U05401","RUS-RU-Moscow-03-colo_LE_BR2118","LB_U054","LE_BR2118","BU_OGTBMS"
"RF_U05501","U05501","RUS-RU-Moscow-03-colo_LE_BR2119","LB_U055","LE_BR2119","BU_OGTBMS"
"RF_U05810","U05810","RUS-RU-Moscow-03-colo-LE_BR2041-LB_U058","LB_U058","LE_I10234","BU_OGTBMS"
"RF_U05811","U05811","RUS-RU-Moscow-03-colo-LE_BR2049-LB_U058","LB_U058","LE_I10234","BU_OGTBMS"
"RF_U05812","U05812","RUS-RU-Moscow-03-colo-LE_BR2050-LB_U058","LB_U058","LE_I10234","BU_OGTBMS"
"RF_U05815","U05815","RUS-RU-Moscow-03-colo-LE_BR2068-LB_U058","LB_U058","LE_I10234","BU_OGTBMS"
"RF_U05816","U05816","RUS-RU-Moscow-03-colo-LE_BR2069-LB_U058","LB_U058","LE_I10234","BU_OGTBMS"
"RF_U05824","U05824","RUS-RU-Moscow-03-colo-LE_BR2118-LB_U058","LB_U058","LE_I10234","BU_OGTBMS"
"RF_U05825","U05825","RUS-RU-Moscow-03-colo-LE_BR2119-LB_U058","LB_U058","LE_I10234","BU_OGTBMS"
"RF_U05829","U05829","RUS-RU-Moscow-03-colo-LE_BR2128-LB_U058","LB_U058","LE_I10234","BU_OGTBMS"
"RF_U05830","U05830","RUS-RU-Moscow-03-colo-LE_BR2137-LB_U058","LB_U058","LE_I10234","BU_OGTBMS"
"RF_U05832","U05832","RUS-RU-Moscow-03-colo-LE_BR2291-LB_U058","LB_U058","LE_I10234","BU_OGTBMS"
"RF_U05833","U05833","RUS-RU-Moscow-03-colo-LE_BR2331-LB_U058","LB_U058","LE_I10234","BU_OGTBMS"
"RF_U05834","U05834","RUS-RU-Moscow-03-colo-LE_BR2333-LB_U058","LB_U058","LE_I10234","BU_OGTBMS"
"RF_U05837","U05837","RUS-RU-Moscow-03-colo-LE_IF1012-LB_U058","LB_U058","LE_I10234","BU_OGTBMS"
"RF_U05848","U05848","RUS-RU-Moscow-03-colo-LE_IF1683-LB_U058","LB_U058","LE_I10234","BU_OGTBMS"
"RF_U05850","U05850","RUS-RU-Moscow-03-colo-LE_IF1685-LB_U058","LB_U058","LE_I10234","BU_OGTBMS"
"RF_U05851","U05851","RUS-RU-Moscow-03-colo-LE_IF1692-LB_U058","LB_U058","LE_I10234","BU_OGTBMS"
"RF_U05854","U05854","RUS-RU-Moscow-03-colo-LE_IF1738-LB_U058","LB_U058","LE_I10234","BU_OGTBMS"
"RF_U05855","U05855","RUS-RU-Moscow-03-colo-LE_IF1739-LB_U058","LB_U058","LE_I10234","BU_OGTBMS"
"RF_U05857","U05857","RUS-RU-Moscow-03-colo-LE_IF1894-LB_U058","LB_U058","LE_I10234","BU_OGTBMS"
"RF_U05858","U05858","RUS-RU-Moscow-03-colo-LE_IF1902-LB_U058","LB_U058","LE_I10234","BU_OGTBMS"
"RF_U05859","U05859","RUS-RU-Moscow-03-colo-LE_IF1903-LB_U058","LB_U058","LE_I10234","BU_OGTBMS"
"RF_U05860","U05860","RUS-RU-Moscow-03-colo-LE_IF1904-LB_U058","LB_U058","LE_I10234","BU_OGTBMS"
"RF_U05874","U05874","RUS-RU-Moscow-03-colo-LE_BR2380-LB_U058","LB_U058","LE_I10234","BU_OGTBMS"
